Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-health.gov.il.fhir.core.json	66918	-	0	0	0	0	0	0	12	212	0	0	0	0	0	1	0	1	0	0	340	657	0	0	1	13	0	8
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-aspirin-intolerance.json	2047	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	68	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-cat-dander-allergy.json	1992	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-latex-allergy.json	2010	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-no-known-allergy.json	953	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-penut-allergy-resolved.json	2327	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-city-symbol.json	173511	310	1	0	0	0	0	0	12	552	0	0	2	0	0	0	0	1	0	0	725	29231	0	0	0	32	0	7
fsh-generated/resources/CodeSystem-department-type-moh.json	298221	312	1	0	0	0	0	0	8	434	0	0	1	0	0	0	0	1	0	0	1023	706	0	0	0	56	0	5
fsh-generated/resources/CodeSystem-hebrew-date-day.json	2170	8	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	25	99	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-hebrew-date-month.json	1296	3	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	21	85	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-icd9il.json	19272	25	0	0	0	0	0	0	1	30	0	0	1	0	0	0	0	1	0	0	82	120	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-il-core-coverage-class.json	962	2	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	20	89	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-il-core-coverage-type.json	747	1	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	15	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-encounter-class.json	771	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	86	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-error-code.json	1288	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	76	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-medication-category.json	2246	2	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	22	82	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-medication-course-of-therapy-type.json	708	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	89	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-il-core-not-performed-reason.json	1849	2	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	24	83	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-premium-type.json	1050	2	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	21	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-religion-code.json	1206	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	77	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-il-core-urn.json	24371	35	0	0	0	0	0	0	1	47	0	0	1	0	0	0	0	0	0	0	168	124	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-institution-type-moh.json	18246	13	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	64	87	0	0	0	2	0	1
