URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.health.gov.il/ValueSet/city-symbol,0.13.2,draft,,CitySymbol,City Symbol (סמל ישוב),"City classification according to the Israeli Postal Company city-symbol coding system",,"Internal"
http://fhir.health.gov.il/ValueSet/department-type-moh,0.13.2,draft,,DepartmentTypeMoH,Department Type MoH,"Israel ministry of health coding system for department types",,"Internal"
http://fhir.health.gov.il/ValueSet/hebrew-date-day,0.13.2,draft,,HebrewDateDay,Hebrew Date Day,"Codes for Hebrew date days",,"Internal"
http://fhir.health.gov.il/ValueSet/hebrew-date-month,0.13.2,draft,,HebrewDateMonth,Hebrew Date Month,"Codes for Hebrew date months",,"Internal"
http://fhir.health.gov.il/ValueSet/icd9-cm-diagnoses,0.13.2,draft,,Icd9CmDiagnoses,Icd9 Cm diagnoses,"All Diagnosis codes from ICD9-CM codesystem",,"FHIR"
http://fhir.health.gov.il/ValueSet/icd9-cm-procedures,0.13.2,draft,,Icd9CmProcedures,Icd9 Cm Procedures,"All Procedure codes from ICD9-CM codesystem",,"FHIR"
http://fhir.health.gov.il/ValueSet/icd9il-diagnoses,0.13.2,draft,,ICD9ILDiagnoses,ICD9 IL Diagnoses,"codes of diagnoses from ICD9-IL",,"Internal"
http://fhir.health.gov.il/ValueSet/icd9il-procedures,0.13.2,draft,,ICD9ILProcedures,ICD9 IL Procedures,"codes of procedures from ICD9-IL",,"Internal"
http://fhir.health.gov.il/ValueSet/il-core-allergy-intolerance-code,0.13.2,draft,,ILCoreAllergyIntoleranceCode,IL Core Allergy Intolerance Code,"A list of codes for Allergy Intolerance for the IL Core",,"SCT,hl7.terminology.r4"
http://fhir.health.gov.il/ValueSet/il-core-allergy-intolerance-end-reason,0.13.2,draft,,ILCoreAllergyIntoleranceEndReason,IL Core Condition End Reason,"A list of codes for End Reasons of Allergy Intolerance for the IL Core",,"SCT"
http://fhir.health.gov.il/ValueSet/il-core-common-units-of-measure,0.13.2,draft,,ILCoreCommonUnitsOfMeasure,IL Core Units Of Measure Codes,"A list of codes for Units Of Measure for the IL Core. <mark>Note:</mark> UCUM code SHALL be used, unless one cannot be found, in which case a SNOMED-CT code SHALL be used",,"SCT,FHIR"
http://fhir.health.gov.il/ValueSet/il-core-condition-category,0.13.2,draft,,ILCoreConditionCategory,IL Core Condition Category Codes,"A list of category codes for conditions for the IL Core",,"SCT,THO"
http://fhir.health.gov.il/ValueSet/il-core-condition-code,0.13.2,draft,,ILCoreConditionCode,IL Core Condition Code,"A list of codes for conditions for the IL Core",,"SCT,THO,hl7.terminology.r4"
